date,club,country,elo
2015-01-15,Dortmund,GER,1800.74
2015-01-15,Eibar,ESP,1679.54
2015-01-15,Ein Frankfurt,GER,1685.08
2015-01-15,Elche,ESP,1638.88
2015-01-15,Empoli,ITA,1526.29
2015-01-15,Erciyesspor,TUR,1431.17
2015-01-15,Eskisehirspor,TUR,1486.06
2015-01-15,Espanol,ESP,1688.01
2015-01-15,Everton,ENG,1746.28
2015-01-15,Evian Thonon Gaillard,FRA,1534.61
2015-01-15,FC Koln,GER,1629.36
2015-01-15,Fenerbahce,TUR,1703.14
2015-01-15,Fiorentina,ITA,1699.79
2015-01-15,Fortuna Dusseldorf,GER,1546.3
2015-01-15,Freiburg,GER,1645.76
2015-01-15,Frosinone,ITA,1400.47
2015-01-15,Fulham,ENG,1494.77
2015-01-15,Galatasaray,TUR,1651.51
2015-01-15,Gaziantepspor,TUR,1476.92
2015-01-15,Genclerbirligi,TUR,1532.29
2015-01-15,Genoa,ITA,1605.08
2015-01-15,Getafe,ESP,1671.17
2015-01-15,Girona,ESP,1601.55
2015-01-15,Granada,ESP,1635.74
2015-01-15,Greuther Furth,GER,1514.87
2015-01-15,Guingamp,FRA,1556.41
2015-01-15,Hamburg,GER,1612.71
2015-01-15,Hannover,GER,1681.85
2015-01-15,Heidenheim,GER,1445.28
2015-01-15,Hertha,GER,1627.6
2015-01-15,Hoffenheim,GER,1717.84
2015-01-15,Huddersfield,ENG,1445.28
2015-01-15,Hull,ENG,1585.93
2015-01-15,Ingolstadt,GER,1561.52
2015-01-15,Inter,ITA,1669.32
2015-01-15,Ipswich,ENG,1576.75
2015-01-15,Juventus,ITA,1893.47
2015-01-15,Kaiserslautern,GER,1554.59
2015-01-15,Karabukspor,TUR,1495.64
2015-01-15,Karlsruhe,GER,1536.39
2015-01-15,Kasimpasa,TUR,1540.63
2015-01-15,Konyaspor,TUR,1459.42
2015-01-15,La Coruna,ESP,1639.83
2015-01-15,Las Palmas,ESP,1647.65
2015-01-15,Lazio,ITA,1681.53
2015-01-15,Le Havre,FRA,1443.31
2015-01-15,Leeds,ENG,1416.04
2015-01-15,Leganes,ESP,1523.78
2015-01-15,Leicester,ENG,1607.09
2015-01-15,Lens,FRA,1505.97
2015-01-15,Levante,ESP,1687.92
2015-01-15,Leverkusen,GER,1800.93
2015-01-15,Lille,FRA,1643.42
2015-01-15,Liverpool,ENG,1802.0
2015-01-15,Livorno,ITA,1447.8
2015-01-15,Lorient,FRA,1550.38
2015-01-15,Lyon,FRA,1740.36
2015-01-15,Mainz,GER,1679.6
2015-01-15,Malaga,ESP,1766.11
2015-01-15,Mallorca,ESP,1553.02
2015-01-15,Man City,ENG,1943.1
2015-01-15,Man United,ENG,1837.43
2015-01-15,Marseille,FRA,1700.25
2015-01-15,Mersin Idman Yurdu,TUR,1455.7
2015-01-15,Metz,FRA,1510.76
2015-01-15,MGladbach,GER,1770.73
2015-01-15,Middlesbrough,ENG,1566.87
2015-01-15,Milan,ITA,1698.8
2015-01-15,Modena,ITA,1451.58
2015-01-15,Monaco,FRA,1725.69
2015-01-15,Montpellier,FRA,1609.27
2015-01-15,Munich 1860,GER,1447.85
2015-01-15,Nancy,FRA,1493.14
2015-01-15,Nantes,FRA,1591.03
2015-01-15,Napoli,ITA,1743.66
2015-01-15,Newcastle,ENG,1661.07
2015-01-15,Nice,FRA,1554.0
2015-01-15,Nimes,FRA,1407.05
2015-01-15,Norwich,ENG,1574.84
2015-01-15,Nottm Forest,ENG,1448.41
2015-01-15,Numancia,ESP,1571.48
2015-01-15,Nurnberg,GER,1532.13
2015-01-15,Osasuna,ESP,1609.0
2015-01-15,Paderborn,GER,1602.02
2015-01-15,Palermo,ITA,1597.51
2015-01-15,Paris SG,FRA,1828.52
2015-01-15,Parma,ITA,1561.95
2015-01-15,Perugia,ITA,1366.64
2015-01-15,Pescara,ITA,1422.47
2015-01-15,QPR,ENG,1572.84
2015-01-15,RB Leipzig,GER,1462.88
2015-01-15,Reading,ENG,1477.12
2015-01-15,Real Madrid,ESP,2075.21
2015-01-15,Recreativo,ESP,1503.09
2015-01-15,Reims,FRA,1565.03
2015-01-15,Rennes,FRA,1580.83
2015-01-15,Rizespor,TUR,1446.9
2015-01-15,Roma,ITA,1775.73
2015-01-15,Sampdoria,ITA,1621.12
2015-01-15,Santander,ESP,1506.6
2015-01-15,Sassuolo,ITA,1572.6
2015-01-15,Schalke 04,GER,1770.29
2015-01-15,Sevilla,ESP,1831.95
2015-01-15,Sivasspor,TUR,1487.35
2015-01-15,Sochaux,FRA,1552.19
2015-01-15,Sociedad,ESP,1744.58
2015-01-15,Southampton,ENG,1777.98
2015-01-15,Sp Gijon,ESP,1637.91
2015-01-15,Spezia,ITA,1443.2
2015-01-15,St Etienne,FRA,1699.17
2015-01-15,St Pauli,GER,1410.34
2015-01-15,Stoke,ENG,1688.8
2015-01-15,Stuttgart,GER,1623.39
2015-01-15,Sunderland,ENG,1639.28
2015-01-15,Swansea,ENG,1679.28
2015-01-15,Tenerife,ESP,1510.82
2015-01-15,Torino,ITA,1613.92
2015-01-15,Tottenham,ENG,1772.43
2015-01-15,Toulouse,FRA,1550.63
2015-01-15,Trabzonspor,TUR,1584.03
2015-01-15,Troyes,FRA,1537.46
2015-01-15,Udinese,ITA,1599.65
2015-01-15,Union Berlin,GER,1464.45
2015-01-15,Valencia,ESP,1834.85
2015-01-15,Valenciennes,FRA,1437.48
2015-01-15,Valladolid,ESP,1677.69
2015-01-15,Vallecano,ESP,1669.15
2015-01-15,Verona,ITA,1571.59
2015-01-15,Vicenza,ITA,1352.88
2015-01-15,Villarreal,ESP,1810.52
2015-01-15,Watford,ENG,1526.51
2015-01-15,Werder Bremen,GER,1633.35
2015-01-15,West Brom,ENG,1617.94
2015-01-15,West Ham,ENG,1701.86
2015-01-15,Wigan,ENG,1449.85
2015-01-15,Wolfsburg,GER,1809.24
2015-01-15,Wolves,ENG,1463.97
2015-01-15,Zaragoza,ESP,1568.21
2015-02-01,Ajaccio,FRA,1443.94
2015-02-01,Akhisar Belediyespor,TUR,1448.47
2015-02-01,Alaves,ESP,1535.11
2015-02-01,Albacete,ESP,1489.53
2015-02-01,Almeria,ESP,1642.22
2015-02-01,Angers,FRA,1478.14
2015-02-01,Arles,FRA,1337.12
2015-02-01,Arsenal,ENG,1866.28
2015-02-01,Aston Villa,ENG,1603.07
2015-02-01,Atalanta,ITA,1571.73
2015-02-01,Ath Bilbao,ESP,1744.94
2015-02-01,Ath Madrid,ESP,1964.97
2015-02-01,Augsburg,GER,1718.29
2015-02-01,Auxerre,FRA,1451.17
2015-02-01,Balikesirspor,TUR,1399.6
2015-02-01,Barcelona,ESP,2021.54
2015-02-01,Bari,ITA,1416.68
2015-02-01,Bastia,FRA,1555.61
2015-02-01,Bayern Munich,GER,2039.01
2015-02-01,Besiktas,TUR,1673.14
2015-02-01,Betis,ESP,1669.86
2015-02-01,Birmingham,ENG,1455.71
2015-02-01,Blackburn,ENG,1511.25
2015-02-01,Blackpool,ENG,1355.67
2015-02-01,Bochum,GER,1438.89
2015-02-01,Bologna,ITA,1505.81
2015-02-01,Bolton,ENG,1482.0
2015-02-01,Bordeaux,FRA,1610.67
2015-02-01,Bournemouth,ENG,1576.13
2015-02-01,Braunschweig,GER,1559.5
2015-02-01,Brentford,ENG,1500.66
2015-02-01,Brescia,ITA,1402.31
2015-02-01,Brest,FRA,1522.32
2015-02-01,Brighton,ENG,1477.46
2015-02-01,Burnley,ENG,1585.07
2015-02-01,Bursaspor,TUR,1568.35
2015-02-01,Buyuksehyr,TUR,1514.35
2015-02-01,Caen,FRA,1536.6
2015-02-01,Cagliari,ITA,1548.78
2015-02-01,Cardiff,ENG,1477.12
2015-02-01,Carpi,ITA,1497.88
2015-02-01,Catania,ITA,1448.59
2015-02-01,Celta,ESP,1711.24
2015-02-01,Cesena,ITA,1440.81
2015-02-01,Charlton,ENG,1433.96
2015-02-01,Chelsea,ENG,1942.15
2015-02-01,Chievo,ITA,1538.53
2015-02-01,Clermont,FRA,1402.86
2015-02-01,Cordoba,ESP,1611.94
2015-02-01,Crotone,ITA,1372.92
2015-02-01,Crystal Palace,ENG,1623.1
2015-02-01,Darmstadt,GER,1478.48
2015-02-01,Derby,ENG,1612.83
2015-02-01,Dijon,FRA,1471.87
2015-02-01,Dortmund,GER,1802.46
2015-02-01,Eibar,ESP,1670.07
2015-02-01,Ein Frankfurt,GER,1672.45
2015-02-01,Elche,ESP,1634.79
2015-02-01,Empoli,ITA,1527.99
2015-02-01,Erciyesspor,TUR,1439.4
2015-02-01,Eskisehirspor,TUR,1487.07
2015-02-01,Espanol,ESP,1703.96
2015-02-01,Everton,ENG,1748.21
2015-02-01,Evian Thonon Gaillard,FRA,1536.02
2015-02-01,FC Koln,GER,1642.4
2015-02-01,Fenerbahce,TUR,1716.92
2015-02-01,Fiorentina,ITA,1704.41
2015-02-01,Fortuna Dusseldorf,GER,1546.3
2015-02-01,Freiburg,GER,1658.39
2015-02-01,Frosinone,ITA,1377.88
2015-02-01,Fulham,ENG,1499.84
2015-02-01,Galatasaray,TUR,1654.94
2015-02-01,Gaziantepspor,TUR,1468.02
