date,club,country,elo
2000-07-15,Sunderland,ENG,1712.08
2000-07-15,Tenerife,ESP,1592.64
2000-07-15,Torino,ITA,1641.32
2000-07-15,Tottenham,ENG,1676.75
2000-07-15,Toulouse,FRA,1551.65
2000-07-15,Trabzonspor,TUR,1476.88
2000-07-15,Treviso,ITA,1555.5
2000-07-15,Troyes,FRA,1586.57
2000-07-15,Udinese,ITA,1777.44
2000-07-15,Unterhaching,GER,1623.52
2000-07-15,Valencia,ESP,1904.36
2000-07-15,Valladolid,ESP,1765.68
2000-07-15,Vallecano,ESP,1715.15
2000-07-15,Venezia,ITA,1607.65
2000-07-15,Verona,ITA,1688.23
2000-07-15,Vicenza,ITA,1641.72
2000-07-15,Villarreal,ESP,1651.91
2000-07-15,Watford,ENG,1503.84
2000-07-15,Werder Bremen,GER,1682.76
2000-07-15,West Brom,ENG,1437.82
2000-07-15,West Ham,ENG,1681.31
2000-07-15,Wolfsburg,GER,1667.58
2000-07-15,Wolves,ENG,1561.44
2000-07-15,Yozgatspor,TUR,1316.39
2000-07-15,Zaragoza,ESP,1847.78
2000-08-01,Aachen,GER,1453.6
2000-08-01,Adanaspor,TUR,1382.9
2000-08-01,Ajaccio,FRA,1476.65
2000-08-01,Alaves,ESP,1773.22
2000-08-01,Albacete,ESP,1578.79
2000-08-01,Ancona,ITA,1466.99
2000-08-01,Angers,FRA,1417.68
2000-08-01,Antalyaspor,TUR,1372.78
2000-08-01,Arsenal,ENG,1871.66
2000-08-01,Aston Villa,ENG,1728.15
2000-08-01,Atalanta,ITA,1631.75
2000-08-01,Ath Bilbao,ESP,1778.66
2000-08-01,Ath Madrid,ESP,1713.55
2000-08-01,Auxerre,FRA,1624.71
2000-08-01,Barcelona,ESP,1887.37
2000-08-01,Bari,ITA,1659.61
2000-08-01,Bastia,FRA,1664.26
2000-08-01,Bayern Munich,GER,1867.24
2000-08-01,Besiktas,TUR,1622.9
2000-08-01,Betis,ESP,1711.35
2000-08-01,Bielefeld,GER,1600.83
2000-08-01,Birmingham,ENG,1560.75
2000-08-01,Blackburn,ENG,1527.02
2000-08-01,Bochum,GER,1587.32
2000-08-01,Bologna,ITA,1705.3
2000-08-01,Bolton,ENG,1574.41
2000-08-01,Bordeaux,FRA,1730.0
2000-08-01,Bradford,ENG,1578.67
2000-08-01,Brescia,ITA,1618.26
2000-08-01,Burnley,ENG,1416.38
2000-08-01,Bursaspor,TUR,1377.44
2000-08-01,Caen,FRA,1517.29
2000-08-01,Cagliari,ITA,1606.65
2000-08-01,Celta,ESP,1810.33
2000-08-01,Charlton,ENG,1608.72
2000-08-01,Chelsea,ENG,1800.12
2000-08-01,Chievo,ITA,1535.41
2000-08-01,Cordoba,ESP,1540.15
2000-08-01,Cottbus,GER,1547.35
2000-08-01,Coventry,ENG,1635.56
2000-08-01,Crotone,ITA,1466.99
2000-08-01,Crystal Palace,ENG,1461.2
2000-08-01,Denizlispor,TUR,1367.67
2000-08-01,Derby,ENG,1636.03
2000-08-01,Dortmund,GER,1646.19
2000-08-01,Duisburg,GER,1553.58
2000-08-01,Eibar,ESP,1576.33
2000-08-01,Ein Frankfurt,GER,1643.06
2000-08-01,Elche,ESP,1531.62
2000-08-01,Empoli,ITA,1559.98
2000-08-01,Erzurumspor,TUR,1343.12
2000-08-01,Espanol,ESP,1785.89
2000-08-01,Everton,ENG,1685.5
2000-08-01,FC Koln,GER,1580.98
2000-08-01,Fenerbahce,TUR,1560.32
2000-08-01,Fiorentina,ITA,1805.0
2000-08-01,Freiburg,GER,1618.1
2000-08-01,Fulham,ENG,1487.33
2000-08-01,Galatasaray,TUR,1768.55
2000-08-01,Gaziantepspor,TUR,1497.05
2000-08-01,Genclerbirligi,TUR,1480.36
2000-08-01,Genoa,ITA,1595.12
2000-08-01,Getafe,ESP,1502.74
2000-08-01,Greuther Furth,GER,1512.87
2000-08-01,Guingamp,FRA,1576.86
2000-08-01,Hamburg,GER,1716.3
2000-08-01,Hannover,GER,1504.93
2000-08-01,Hansa Rostock,GER,1631.68
2000-08-01,Hertha,GER,1663.24
2000-08-01,Huddersfield,ENG,1495.81
2000-08-01,Inter,ITA,1794.38
2000-08-01,Ipswich,ENG,1638.03
2000-08-01,Istanbulspor,TUR,1388.39
2000-08-01,Juventus,ITA,1852.32
2000-08-01,Kaiserslautern,GER,1669.8
2000-08-01,Kocaelispor,TUR,1386.28
2000-08-01,La Coruna,ESP,1844.94
2000-08-01,Las Palmas,ESP,1652.88
2000-08-01,Lazio,ITA,1894.08
2000-08-01,Le Havre,FRA,1579.15
2000-08-01,Le Mans,FRA,1472.12
2000-08-01,Lecce,ITA,1635.02
2000-08-01,Leeds,ENG,1782.38
2000-08-01,Leganes,ESP,1572.61
2000-08-01,Leicester,ENG,1687.84
2000-08-01,Lens,FRA,1743.32
2000-08-01,Levante,ESP,1549.41
2000-08-01,Leverkusen,GER,1822.45
2000-08-01,Lille,FRA,1632.15
2000-08-01,Liverpool,ENG,1770.1
2000-08-01,Lorient,FRA,1484.23
2000-08-01,Lyon,FRA,1698.35
2000-08-01,Mainz,GER,1504.53
2000-08-01,Malaga,ESP,1736.42
2000-08-01,Mallorca,ESP,1800.35
2000-08-01,Man City,ENG,1579.94
2000-08-01,Man United,ENG,1931.9
2000-08-01,Marseille,FRA,1691.36
2000-08-01,Metz,FRA,1677.45
2000-08-01,MGladbach,GER,1580.48
2000-08-01,Middlesbrough,ENG,1679.13
2000-08-01,Milan,ITA,1841.61
2000-08-01,Monaco,FRA,1776.69
2000-08-01,Montpellier,FRA,1614.09
2000-08-01,Monza,ITA,1536.85
2000-08-01,Munich 1860,GER,1671.74
2000-08-01,Murcia,ESP,1470.87
2000-08-01,Nancy,FRA,1640.12
2000-08-01,Nantes,FRA,1651.93
2000-08-01,Napoli,ITA,1598.18
2000-08-01,Newcastle,ENG,1712.14
2000-08-01,Nice,FRA,1516.91
2000-08-01,Nimes,FRA,1450.63
2000-08-01,Norwich,ENG,1464.67
2000-08-01,Nottm Forest,ENG,1512.09
2000-08-01,Numancia,ESP,1690.13
2000-08-01,Nurnberg,GER,1579.35
2000-08-01,Osasuna,ESP,1615.91
2000-08-01,Oviedo,ESP,1723.45
2000-08-01,Paris SG,FRA,1720.51
2000-08-01,Parma,ITA,1793.02
2000-08-01,Perugia,ITA,1658.87
2000-08-01,Pescara,ITA,1563.65
2000-08-01,Piacenza,ITA,1598.04
2000-08-01,Portsmouth,ENG,1439.73
2000-08-01,QPR,ENG,1509.88
2000-08-01,Real Madrid,ESP,1884.02
2000-08-01,Recreativo,ESP,1523.14
2000-08-01,Reggina,ITA,1654.99
2000-08-01,Rennes,FRA,1649.24
2000-08-01,Rizespor,TUR,1318.53
2000-08-01,Roma,ITA,1791.52
2000-08-01,Salernitana,ITA,1572.4
2000-08-01,Sampdoria,ITA,1631.84
2000-08-01,Samsunspor,TUR,1432.11
2000-08-01,Santander,ESP,1754.87
2000-08-01,Schalke 04,GER,1626.21
2000-08-01,Sedan,FRA,1635.08
2000-08-01,Sevilla,ESP,1625.98
2000-08-01,Sheffield United,ENG,1462.72
2000-08-01,Siena,ITA,1466.99
2000-08-01,Siirt Jet-PA,TUR,1318.53
2000-08-01,Sochaux,FRA,1574.41
2000-08-01,Sociedad,ESP,1777.34
2000-08-01,Southampton,ENG,1629.97
2000-08-01,Sp Gijon,ESP,1590.28
2000-08-01,St Etienne,FRA,1622.39
2000-08-01,St Pauli,GER,1495.55
2000-08-01,Strasbourg,FRA,1636.89
2000-08-01,Stuttgart,GER,1650.61
2000-08-01,Sunderland,ENG,1712.08
2000-08-01,Tenerife,ESP,1592.64
2000-08-01,Torino,ITA,1641.32
2000-08-01,Tottenham,ENG,1676.75
2000-08-01,Toulouse,FRA,1543.76
2000-08-01,Trabzonspor,TUR,1479.02
2000-08-01,Treviso,ITA,1555.5
2000-08-01,Troyes,FRA,1581.55
2000-08-01,Udinese,ITA,1777.44
2000-08-01,Unterhaching,GER,1623.52
2000-08-01,Valencia,ESP,1904.36
2000-08-01,Valladolid,ESP,1765.68
2000-08-01,Vallecano,ESP,1715.15
2000-08-01,Venezia,ITA,1607.65
2000-08-01,Verona,ITA,1688.23
2000-08-01,Vicenza,ITA,1641.72
2000-08-01,Villarreal,ESP,1651.91
2000-08-01,Watford,ENG,1503.84
2000-08-01,Werder Bremen,GER,1682.76
2000-08-01,West Brom,ENG,1437.82
2000-08-01,West Ham,ENG,1681.31
2000-08-01,Wolfsburg,GER,1667.58
2000-08-01,Wolves,ENG,1561.44
2000-08-01,Yozgatspor,TUR,1318.53
2000-08-01,Zaragoza,ESP,1847.78
2000-08-15,Aachen,GER,1444.82
2000-08-15,Adanaspor,TUR,1421.44
2000-08-15,Ajaccio,FRA,1475.97
2000-08-15,Alaves,ESP,1772.94
2000-08-15,Albacete,ESP,1578.51
2000-08-15,Ancona,ITA,1466.56
2000-08-15,Angers,FRA,1420.62
2000-08-15,Antalyaspor,TUR,1399.33
2000-08-15,Arsenal,ENG,1871.71
2000-08-15,Aston Villa,ENG,1728.2
2000-08-15,Atalanta,ITA,1631.32
2000-08-15,Ath Bilbao,ESP,1778.38
2000-08-15,Ath Madrid,ESP,1713.26
2000-08-15,Auxerre,FRA,1644.46
2000-08-15,Barcelona,ESP,1887.08
2000-08-15,Bari,ITA,1659.17
2000-08-15,Bastia,FRA,1668.8
2000-08-15,Bayern Munich,GER,1872.44
2000-08-15,Besiktas,TUR,1660.28
2000-08-15,Betis,ESP,1711.06
2000-08-15,Bielefeld,GER,1605.84
2000-08-15,Birmingham,ENG,1561.72
2000-08-15,Blackburn,ENG,1533.44
2000-08-15,Bochum,GER,1600.54
2000-08-15,Bologna,ITA,1704.87
2000-08-15,Bolton,ENG,1568.46
2000-08-15,Bordeaux,FRA,1714.91
2000-08-15,Bradford,ENG,1578.72
2000-08-15,Brescia,ITA,1617.83
2000-08-15,Burnley,ENG,1422.43
2000-08-15,Bursaspor,TUR,1393.49
2000-08-15,Caen,FRA,1501.1
2000-08-15,Cagliari,ITA,1606.21
2000-08-15,Celta,ESP,1810.04
2000-08-15,Charlton,ENG,1608.77
2000-08-15,Chelsea,ENG,1800.17
2000-08-15,Chievo,ITA,1534.97
2000-08-15,Cordoba,ESP,1539.86
2000-08-15,Cottbus,GER,1544.6
2000-08-15,Coventry,ENG,1635.61
2000-08-15,Crotone,ITA,1466.56
2000-08-15,Crystal Palace,ENG,1454.87
2000-08-15,Denizlispor,TUR,1381.21
2000-08-15,Derby,ENG,1636.08
2000-08-15,Dortmund,GER,1653.11
